order_id,order_date,customer_id,customer_name,customer_email,customer_city,customer_state,product_name,product_category,quantity,unit_price,discount_amount,revenue,store_name,shipping_method,shipping_status,payment_method
ORD-93362178,2024-05-24,CUST-0DAC66,Nicole Thompson,preston84@example.net,Lake Sarah,--,Floodlight,Lighting,7,52.06,25.0,9999.99,OutdoorHub ,Overnight,Processing,Gift Card
ORD-00257318,2022-06-09,CUST-554814,Jessica Yu,,Lesliefort,CO,bbq tool set,BBQ & Grilling,3,40.35,0.0,121.05,Home Nest,Store Pickup,CANCELLED,Debit Card
ORD-67765998,2023-10-13,CUST-A5F5E9,Mark Martin,chad39@example.com,Port Billyview,NE,PLANT POT,Outdoor Decor,4,14.27,10.0,47.08,HomeNest,Express,CANCELLED,Google Pay
ORD-51916284,2023-10-21,CUST-955EB6,Laura Hernandez,,East Howardhaven,SC,HAMMOCK,Furniture,1,52.34,0.0,52.34,HomeNest,,SHIPPED,Debit Card
ORD-93205263,2022-11-15,CUST-CC10DD,Keith Chapman,ashleykemp@example.com,North Kristinemouth,NY,HAMMOCK,Furniture,2,64.49,5.0,123.98,patioworld,Store Pickup,Refund,Google Pay
ORD-97000365,2024-03-31,CUST-E8FCCC,Brian Cooley,cynthia24@example.org,Philipfort,CA,Wheelbarrow,Garden Tools,6,87.83,0.0,526.98,GardenPlus ,Free Shipping,delivered,PayPal
ORD-15457803,2023-08-14,CUST-9FDF8D,Mrs. Suzanne Mcgee,frazierrobin@example.net,Richardsonland,DE,Garden-Hose,Garden Tools,1,31.95,25.0,6.95,HOME NEST,Overnight,RETURNED,PayPal
ORD-55145043,2022-04-04,CUST-5A5136,Patricia Contreras,kelly60@example.com,Acostaburgh,OR,patio dining table,Furniture,2,267.39,0.0,534.78,OUTDOORHUB,Standard,Cancelled,Google Pay
ORD-61436032,2022-07-15,CUST-4153B8,Sophia Banks,ericzimmerman@example.org,Krauseberg,WA,Bird-Bath,Outdoor Decor,6,69.06,0.0,414.36,HomeNest,Store Pickup,PROCESSING,Gift Card
ORD-27887387,2023-04-10,CUST-6C5F48,April Garner,alvaradokimberly@example.com,Martinview,CA,BBQ Tool Set,BBQ & Grilling,1,48.04,0.0,48.04,Nature Goods,Express,returned,Apple Pay
ORD-15457229,2022-01-05,CUST-FE8CCD,Katrina Barton,dylan27@example.com,East Angelton,NC,wind chime,Outdoor Decor,5,20.39,0.0,101.95,PatioWorld,Express,Canceled,Gift Card
ORD-64797862,2022-05-01,CUST-2854D6,Erik Campbell,abrown@example.org,Lake Travisfort,KY,Plnt Pot,Outdoor Decor,7,16.34,0.0,114.38,HOME NEST,Free Shipping,DELIVERED,Debit Card
ORD-15890043,2023-02-18,CUST-AF32AD,Gary Bennett,floydmonica@example.com,Bakerville,MN,WIND CHIME,Outdoor Decor,2,17.94,20.0,15.88,PATIOWORLD,Standard,In Transit,Gift Card
ORD-23163836,2023-11-17,CUST-61C957,Mary Henderson,makaylarangel@example.com,New Charles,VA,Path Light,Lighting,7,47.87,0.0,335.09,Patio World,Store Pickup,Canceled,Debit Card
ORD-28742702,2023-02-04,CUST-E89839,John Brooks,mvincent@example.org,Franklinbury,NM,BBQ-Tool-Set,BBQ & Grilling,8,38.35,0.0,306.8,Garden-Plus,Store Pickup,pending,Apple Pay
ORD-10410537,2023-02-14,CUST-5AF554,Terry Stevens,hadkins@example.net,South Jaychester,MI,Wheel Barrow,Garden Tools,7,100.76,15.0,690.32,GARDENPLUS,Free Shipping,dispatched,Debit Card
ORD-18764411,,CUST-D2A067,James Carroll,moralessuzanne@example.org,East Devinland,OK,Fire Pit,BBQ & Grilling,2,129.7,5.0,254.4,outdoor hub,Store Pickup,Shipped,Google Pay
ORD-15187328,2024-11-09,CUST-1DA5D2,Francisco Montoya,,Lake Katelyn,AZ,gas grill,BBQ & Grilling,6,556.5,0.0,3339.0,HOME NEST,Free Shipping,SHIPPED,PayPal
ORD-66970309,2023-03-27,CUST-ADDA79,Wendy Edwards,haleynelson@example.net,Port Beverly,CO,Pruning-Shears,Garden Tools,8,28.17,20.0,205.36,outdoor hub,Standard,Returned,Debit Card
ORD-93363917,2023-06-23,CUST-0F9D14,Kaitlyn Hall,bswanson@example.com,,AZ,LEAF BLOWER,Garden Tools,3,129.94,5.0,384.82,Outdoor Hub,Express,Shipped,Apple Pay
ORD-72580797,2022-03-21,CUST-1FD6B5,Tara Singh,danahoffman@example.net,East Jasonton,MT,Fire Pit,BBQ & Grilling,4,146.58,0.0,586.32,Nature-Goods,Store Pickup,cancelled,Apple Pay
ORD-78780529,2023-07-06,CUST-6A0ECF,Cody Thomas,collinsraymond@example.net,East Roybury,OR,GARDEN HOSE,Garden Tools,3,36.04,0.0,108.12,Nature Goods,Express,delivered,Google Pay
ORD-84207196,2024-12-30,CUST-C44C3A,David Long,,Ryanbury,AR,Trowl Set,Garden Tools,1,20.21,5.0,15.21,Outdoor Hub,Express,Processing,Google Pay
ORD-35876037,2024-11-17,CUST-4D72D6,Mark Ballard,heatherburnett@example.net,New Colintown,AR,Grill Covr,BBQ & Grilling,2,31.6,0.0,63.2,OutdoorHub ,Overnight,Delivered,PayPal
ORD-30828862,2023-01-16,CUST-8617D8,Paul Christian,pricetimothy@example.net,South Karen,MT,Floodlight,Lighting,6,62.89,25.0,352.34,GARDENPLUS,Overnight,canceled,Apple Pay
ORD-19953377,2023-06-24,CUST-0213EE,Joann Jackson,adamriley@example.org,Lake Vanessa,FL,BBQ-Tool-Set,BBQ & Grilling,8,44.78,0.0,358.24,naturegoods,Free Shipping,shipped,PayPal
ORD-40382227,2023-04-23,CUST-5E33FF,,,Scottfort,NE,Adirondack Chair,Furniture,8,48.61,5.0,383.88,GardenPlus ,Overnight,delivered,Credit Card
ORD-42491166,2024-01-21,CUST-9566CE,Randy Black,chadwhite@example.org,Aprilstad,NM,pruning shears,Garden Tools,5,23.1,10.0,105.5,HomeNest.,Free Shipping,SHIPPED,Credit Card
ORD-14498005,2024-05-18,CUST-F2EC63,Roger Brooks,aprilmcclain@example.org,Loganfurt,OK,Grill Covr,BBQ & Grilling,7,27.7,10.0,183.9,Outdoor Hub,Standard,Processing,Gift Card
ORD-86594636,2022-12-30,CUST-2ABD22,Adam Murphy,valentinezachary@example.org,South Abigail,MN,String Lghts,Lighting,8,36.53,5.0,287.24,Patio World,Standard,In Transit,Credit Card
ORD-44771444,2024-08-10,CUST-16D8EE,Rebecca Mason,emily41@example.com,West Susanland,ND,Trowel Set,Garden Tools,4,22.78,0.0,91.12,OutdoorHub ,Standard,Delivered,Apple Pay
ORD-25846754,2023-11-17,CUST-04A803,John Simmons,agilbert@example.net,Port Jamesland,NH,Hammok,Furniture,8,55.83,0.0,446.64,PatioWorld,Free Shipping,Refund,Apple Pay
ORD-28323740,2022-04-26,CUST-0AF426,Christopher Sanders,patrickmcclure@example.net,Jonesborough,SD,SOLAR LANTERN,Lighting,1,28.49,15.0,13.49,OutdoorHub ,Overnight,Cancelled,Credit Card
ORD-06224368,2022-07-29,CUST-35DEEA,Jeffrey Hale,denisecalhoun@example.net,East Sierra,SC,grill cover,BBQ & Grilling,2,32.58,15.0,50.16,Patio World,Store Pickup,Pending,Debit Card
ORD-07864217,2022-11-28,CUST-3D5794,James Odonnell,daviddeleon@example.com,Jessicaborough,NV,Hammock ,Furniture,4,64.86,5.0,254.44,HomeNest.,Overnight,RETURNED,Gift Card
ORD-68035437,2022-04-09,CUST-53074B,Felicia Jones,dawn60@example.com,Rickyfort,GA,gas grill,BBQ & Grilling,6,445.15,25.0,2645.9,HomeNest,Overnight,PROCESSING,Google Pay
ORD-89056213,2024-10-27,CUST-F29AA3,Jay Morgan,cindycobb@example.org,East Madelineland,ND,Trowl Set,Garden Tools,1,21.84,0.0,44.73,naturegoods,Overnight,shipped,Gift Card
ORD-20590429,2022-11-25,CUST-84AAC2,Jared Moore,joseph67@example.com,Michaelside,WA,Garden Hose,Garden Tools,4,30.32,0.0,121.28,NatureGoods,Standard,in progress,Debit Card
ORD-01575907,2022-08-11,CUST-CC120C,Kathleen Mcneil,racheltorres@example.com,Jacobchester,HI,Leaf-Blower,Garden Tools,5,132.19,20.0,640.95,Nature Goods,Express,cancelled,Google Pay
ORD-28791830,2022-09-28,CUST-FF9117,Paul Shaw,michael19@example.net,South Wayne,HI,Patio Dining Tbl,Furniture,8,265.55,25.0,2099.4,gardenplus,Standard,canceled,Debit Card
ORD-13952127,2023-07-14,CUST-379FDA,Jason Sanchez,thomas17@example.com,Campbellport,MS,Gas Grll,BBQ & Grilling,4,564.74,0.0,5489.31,Outdoor-Hub,Store Pickup,Cancelled,PayPal
ORD-11339197,2024-08-18,CUST-9009A2,Kristi Hamilton,dhorn@example.net,Paulview,UT,Leaf-Blower,Garden Tools,2,132.83,10.0,255.66,GardenPlus,Overnight,refunded,Debit Card
ORD-31045287,2023-06-21,CUST-C38F8D,Michael White,gregory84@example.com,Masonville,RI,PATHWAY LIGHT,Lighting,7,46.33,20.0,304.31,NATURE GOODS,Express,delivered,Debit Card
ORD-70766035,2023-02-20,CUST-0EB01F,Andrea Lara,wrightshannon@example.net,North Kathleen,CA,HAMMOCK,Furniture,1,57.28,0.0,57.28,HomeNest.,Overnight,PROCESSING,Debit Card
ORD-45670371,2024-12-29,CUST-EED15A,Steven Lindsey,samuel31@example.org,Port Jonathan,TX,GRILL COVER,BBQ & Grilling,6,29.81,20.0,158.86,HomeNest.,Free Shipping,DELIVERED,Google Pay
ORD-23201383,2024-02-04,CUST-4F8942,Troy Bond,jbonilla@example.net,Diazchester,KS,Wind Chime ,Outdoor Decor,4,20.22,0.0,80.88,homenest,Standard,SHIPPED,Debit Card
ORD-41798708,2024-08-16,CUST-8F9D66,Sean Brooks,ashleybridges@example.org,North Danielview,OH,Sun Loungr,Furniture,3,78.95,5.0,231.85,naturegoods,Store Pickup,cancelled,Debit Card
ORD-33219618,2022-12-11,CUST-734B7B,Cory Taylor,uberger@example.net,Port Dustin,MS,Wheelbarrow,Garden Tools,6,108.91,20.0,633.46,OutdoorHub ,Express,Shipped,Credit Card
ORD-04750586,2023-10-23,CUST-A85C7D,Stephen Willis,dmedina@example.com,Lake Reneeborough,VA,Charcoal-Grill,BBQ & Grilling,3,177.24,0.0,531.72,HOME NEST,Overnight,RETURNED,Gift Card
ORD-16455371,2022-11-29,CUST-9ED428,Mary Gomez,warrenalicia@example.net,Trantown,WI,WALL PLANTER,Outdoor Decor,4,26.68,5.0,101.72,HomeNest.,Express,CANCELLED,Debit Card
ORD-90017577,2024-06-12,CUST-A30597,Heidi Davis,caroline54@example.com,Hallberg,AL,LEAF BLOWER,Garden Tools,-1,160.25,0.0,160.25,Outdoor Hub,Standard,Returned,Debit Card
ORD-68244201,,CUST-B6856B,Carolyn Williams,katrinajacobs@example.net,North Terri,LA,Garden Statue,Outdoor Decor,8,53.98,0.0,431.84,Outdoor Hub,Express,Processing,Google Pay
ORD-20141478,,CUST-4F9515,,bpeterson@example.org,West Emilymouth,CO,Wind Chime,Outdoor Decor,5,22.8,0.0,114.0,patioworld,Standard,Refund,PayPal
ORD-05646953,2023-10-31,CUST-590294,Michael Hall,martinnelson@example.net,Cassidyland,AR,Pruning Shears,Garden Tools,6,25.84,10.0,145.04,GARDENPLUS,Standard,dispatched,Credit Card
ORD-12374579,2024-12-17,CUST-1B10F1,Tommy Rodgers,alicia67@example.org,Martinezstad,IA,Garden-Hose,Garden Tools,4,,0.0,145.96,Patio-World,Express,Complete,PayPal
ORD-09776728,2023-05-23,CUST-EB1E9D,Brianna Mcguire,morgandouglas@example.net,Port Rita,WY,Plant-Pot,Outdoor Decor,4,15.25,5.0,56.0,Home-Nest,Store Pickup,RETURNED,Debit Card
ORD-11524778,2023-02-11,CUST-CECD64,Jennifer Ellis,gsherman@example.org,East Henry,HI,BBQ TOOL SET,BBQ & Grilling,7,46.87,25.0,303.09,OutdoorHub,Free Shipping,Delivered,Credit Card
ORD-67216591,2024-06-12,CUST-8228A8,Keith Garcia,stephanie95@example.com,South Michaelton,RI,GARDEN STATUE,Outdoor Decor,4,63.87,25.0,230.48,outdoor hub,Overnight,Returned,Gift Card
ORD-72957424,2024-11-13,CUST-773455,Barbara Cole,bellbrady@example.net,North Jenniferhaven,OH,String Lghts,Lighting,5,35.05,5.0,170.25,HOME NEST,Store Pickup,CANCELLED,Apple Pay
ORD-89852855,2022-01-10,CUST-AA7D5B,Ashley Williams,chandleramy@example.net,North Oscarburgh,HI,garden bench,Furniture,2,146.45,0.0,292.9,OutdoorHub ,Standard,Cancelled,Google Pay
ORD-61043786,2022-05-15,CUST-34D447,Joshua Baker,iwhite@example.org,Michaelburgh,UT,Grill Cover,BBQ & Grilling,6,29.93,0.0,179.58,Nature Goods,Overnight,delivered,Google Pay
ORD-48734144,2023-08-16,CUST-65EAEC,Monique Leach,donald88@example.org,Mckayborough,NM,bbq tool set,BBQ & Grilling,5,46.58,5.0,227.9,Home Nest,Express,PROCESSING,PayPal
ORD-27407999,2023-06-15,CUST-3D7270,Nicholas Powell,xsandoval@example.net,Port Jameshaven,AR,grill cover,BBQ & Grilling,3,30.84,0.0,92.52,outdoor hub,Overnight,Delivered,Google Pay
ORD-39871705,2024-01-26,CUST-066677,Ronald Matthews,,Greenport,OR,bbq tool set,BBQ & Grilling,7,39.27,10.0,264.89,Outdoor Hub,Standard,Cancelled,Gift Card
ORD-26504010,2022-06-17,CUST-C9A590,Lindsay Evans,,Lake Georgechester,LA,Path Light,Lighting,7,51.69,10.0,351.83,PATIOWORLD,Store Pickup,Canceled,Apple Pay
ORD-08574688,2023-04-22,CUST-FCA4A7,,ortizmelissa@example.com,North Brianside,ID,CHARCOAL GRILL,BBQ & Grilling,2,,0.0,398.06,Patio-World,Express,Canceled,Credit Card
ORD-10249310,2023-03-18,CUST-53476B,Jennifer Barker,,Moorefort,AZ,Garden Stateu,Outdoor Decor,7,60.62,5.0,419.34,NatureGoods,Store Pickup,returned,PayPal
ORD-82481723,2022-02-20,CUST-D2EDDE,Scott Strickland,mmonroe@example.net,Jeffreyshire,ND,GRILL COVER,BBQ & Grilling,2,28.92,20.0,37.84,Patio-World,Store Pickup,Complete,Gift Card
ORD-77430120,2022-12-02,CUST-631770,James Hays,jenniferjensen@example.com,Lake Samantha,OK,Solar Lantrn,Lighting,6,21.42,0.0,128.52,patioworld,Overnight,Refund,Credit Card
ORD-26351414,2022-09-27,CUST-961758,Mark Dennis,robinsonamy@example.org,East Trevor,WY,gas grill,BBQ & Grilling,8,541.21,5.0,4324.68,Home Nest,Overnight,DELIVERED,Gift Card
ORD-09206024,,CUST-2C6222,Richard Green,leejoshua@example.net,Marthamouth,LA,GARDEN HOSE,Garden Tools,7,30.91,10.0,206.37,outdoor hub,Overnight,Returned,Apple Pay
ORD-12592787,2024-04-03,CUST-665ACB,Sean Mendoza,mscott@example.net,Kathyberg,HI,PATIO DINING TABLE,Furniture,2,286.35,0.0,572.7,OutdoorHub ,Free Shipping,Delivered,PayPal
ORD-63526623,2022-04-02,CUST-E4FEB2,Megan Thomas,ksimpson@example.org,Fitzpatrickside,MD,Path Light,Lighting,6,47.49,5.0,290.9,Home Nest,Store Pickup,PROCESSING,Gift Card
ORD-15957991,2023-08-21,CUST-65FAB4,Christine Holloway,watsonmichael@example.com,Port Kyleburgh,MI,Trowel-Set,Garden Tools,7,22.73,0.0,159.11,HOME NEST,Store Pickup,DELIVERED,Gift Card
ORD-09572284,2024-08-16,CUST-329D71,Ashley Meyers,xobrien@example.com,Gonzalezside,ND,Adirondack-Chair,Furniture,5,52.87,0.0,264.35,Garden-Plus,Express,canceled,Gift Card
ORD-27069150,2024-04-27,CUST-30E5EE,Christopher Downs,michaelswanson@example.net,Mathisbury,FL,garden hose,Garden Tools,5,30.79,5.0,148.95,HomeNest,Express,CANCELLED,PayPal
ORD-32300544,2022-07-05,CUST-F2EC5B,Isaac Goodman,clarkmichael@example.org,Emmamouth,NJ,Flood Light,Lighting,4,55.93,0.0,223.72,Garden Plus,Store Pickup,pending,Google Pay
ORD-70596607,2022-09-03,CUST-C3BF15,Jennifer House,darren93@example.net,Fordburgh,ND,Prunning Shears,Garden Tools,5,23.29,0.0,116.45,PatioWorld,Store Pickup,Complete,Credit Card
ORD-77079598,2023-05-21,CUST-1D44B3,David Davis,megan00@example.com,Williamsonbury,MT,GAS GRILL,BBQ & Grilling,1,553.5,20.0,533.5,NatureGoods,Express,shipped,Google Pay
ORD-50377158,2023-05-20,CUST-ED93DF,Jerry Martinez,,Lake Julieland,IA,Pathway Light,Lighting,7,54.66,15.0,367.62,Home-Nest,Standard,RETURNED,Gift Card
ORD-46313671,2023-11-03,CUST-68BC87,Joseph Smith,shannoncoleman@example.net,South Justintown,NH,Patio-Dining-Table,Furniture,6,306.05,0.0,1836.3,Home-Nest,Store Pickup,CANCELLED,Gift Card
ORD-81193106,2023-11-08,CUST-6D1641,Kim Shaw,copelandmary@example.net,North Pamelaton,MO,Adirondack Chair,Furniture,3,54.93,0.0,164.79,gardenplus,Free Shipping,pending,Google Pay
ORD-09506348,2023-05-12,CUST-B629EE,Sarah Taylor DDS,johnowens@example.org,East Scottside,VT,garden statue,Outdoor Decor,2,51.46,5.0,97.92,PATIOWORLD,Free Shipping,Canceled,Apple Pay
ORD-46002236,2023-08-20,CUST-5DE234,Jordan Goodman,ruth54@example.org,New Eric,MI,Gas-Grill,BBQ & Grilling,4,511.81,5.0,2042.24,NatureGoods,Overnight,shipped,Google Pay
ORD-95621648,,CUST-DB05D7,Jennifer Jones,rileylisa@example.org,New Shannon,FL,Sun Lounger,Furniture,1,96.69,0.0,96.69,NATURE GOODS,Standard,returned,Gift Card
ORD-93771176,2022-06-09,CUST-ED6DA0,Sonia Castillo,hdavis@example.net,West Ryanport,IN,Trowel-Set,Garden Tools,7,19.66,15.0,122.62,Home-Nest,Express,SHIPPED,Debit Card
ORD-35601153,2022-09-12,CUST-83EBB5,Lucas Scott,brookssara@example.org,Port Laurie,NY,wheelbarrow,Garden Tools,3,111.68,0.0,335.04,Nature Goods,Overnight,shipped,Apple Pay
ORD-80258782,2022-08-12,CUST-691129,Kathryn Riley DVM,hoffmanrobert@example.com,Brownhaven,PA,plant pot,Outdoor Decor,5,16.27,5.0,76.35,GARDENPLUS,Express,pending,Apple Pay
ORD-11254656,2023-12-25,CUST-BC8EBD,Rebecca Young,bbradshaw@example.net,East Ricky,VA,Wind Chime,Outdoor Decor,4,19.93,0.0,79.72,patioworld,Store Pickup,Complete,
ORD-41121804,2023-01-06,CUST-90FBD4,Christopher Gomez,daniel42@example.com,North Cheryl,ID,solar lantern,Lighting,2,26.49,25.0,27.98,Garden-Plus,Overnight,delivered,Google Pay
ORD-75798807,,CUST-80C310,Christine Campos,ywilliams@example.org,East Susan,IL,Gas Grll,BBQ & Grilling,8,435.87,0.0,3486.96,OutdoorHub,Free Shipping,Processing,Gift Card
ORD-68760710,2022-05-05,CUST-A2885B,Amber Clark,randerson@example.org,New Sarah,GA,Leaf Blower,Garden Tools,3,166.47,0.0,499.41,NatureGoods,Overnight,returned,PayPal
ORD-89496887,2023-03-21,CUST-094787,John Tran,alexandrapeters@example.org,,ME,Grill Cover,BBQ & Grilling,7,29.19,25.0,179.33,NATURE GOODS,Standard,returned,Debit Card
ORD-15727701,2023-03-01,CUST-6AD1F3,Brianna Molina,jonathan15@example.net,Brendaton,HI,WIND CHIME,Outdoor Decor,3,17.78,0.0,53.34,homenest,Express,SHIPPED,Google Pay
ORD-69026789,2024-09-19,CUST-6184DE,Jessica Perez,darren57@example.org,North Jon,CO,Flood Light,Lighting,8,60.06,10.0,504.87,homenest,Store Pickup,RETURNED,
ORD-54707959,2022-11-29,CUST-C11E7B,Henry Brown,zrodriguez@example.org,North Michelle,UT,charcoal grill,BBQ & Grilling,2,184.43,20.0,348.86,OutdoorHub,Free Shipping,Returned,Google Pay
ORD-46151674,2022-05-16,CUST-61317B,Samantha Reed,bguerrero@example.net,Tinamouth,WA,plant pot,Outdoor Decor,5,12.89,15.0,49.45,PATIOWORLD,Overnight,Refund,Debit Card
ORD-77263301,2023-08-01,CUST-5CD5C9,Wendy Dawson,michael52@example.com,North Leslieville,MN,Gas Grill,BBQ & Grilling,2,510.49,0.0,1020.98,naturegoods,Express,delivered,Debit Card
ORD-19104976,2022-06-14,CUST-96E6B7,Cassandra Guerrero,,South Nataliemouth,MD,Trowel-Set,Garden Tools,3,21.56,0.0,64.68,Nature-Goods,Free Shipping,delivered,PayPal
ORD-75025980,2024-02-15,CUST-CF557F,Amanda Wheeler,,Jenkinsville,TX,wheelbarrow,Garden Tools,5,85.86,20.0,409.3,outdoor hub,Free Shipping,Cancelled,Credit Card
ORD-95247157,2022-03-06,CUST-78B6EC,Kelli Romero,lisa63@example.org,Hudsonland,TX,TROWEL SET,Garden Tools,5,18.96,0.0,94.8,HomeNest.,Free Shipping,SHIPPED,Apple Pay
ORD-69358582,2022-06-09,CUST-1FA590,Kevin Aguirre,,Lewisstad,NH,Wind Chime,Outdoor Decor,3,18.86,25.0,31.58,NATURE GOODS,,in progress,Google Pay
ORD-61494561,2022-07-12,CUST-A76077,Christopher Peterson,johnwood@example.org,East Nancy,IL,GAS GRILL,BBQ & Grilling,1,481.0,10.0,471.0,HomeNest.,Express,PROCESSING,Apple Pay
ORD-30132815,2022-08-06,CUST-286CBF,James Doyle,kristinhughes@example.com,Newtonmouth,VT,Flood Light,Lighting,4,65.74,0.0,262.96,patioworld,Overnight,Pending,PayPal
ORD-71983292,2024-08-20,CUST-6E8E98,Renee White,judyroman@example.net,West Corey,UT,FirePit,BBQ & Grilling,4,168.8,15.0,1237.2,GardenPlus ,Store Pickup,delivered,Google Pay
ORD-71898902,2022-10-11,CUST-A27627,Bobby Sullivan,virginiapeterson@example.net,Lake Jenniferport,NJ,BBQ Tool Set,BBQ & Grilling,7,47.95,0.0,335.65,HOME NEST,,PROCESSING,Gift Card
ORD-29880818,2024-06-07,CUST-848A58,Ronald Knox,pottsglenn@example.com,East Christopher,SC,BBQ-Tool-Set,BBQ & Grilling,6,44.92,20.0,249.52,Home Nest,Standard,RETURNED,Credit Card
ORD-88466588,2023-11-25,CUST-562061,Heather Mcbride,josephporter@example.org,Murphymouth,MT,LEAF BLOWER,Garden Tools,8,158.98,0.0,1271.84,NATURE GOODS,Express,in progress,Google Pay
ORD-66287666,2022-04-27,CUST-D3A1FC,Teresa Dickerson,waltersdavid@example.net,Riddlefurt,LA,Floodlight,Lighting,3,53.4,0.0,160.2,HOME NEST,Standard,RETURNED,PayPal
ORD-36726010,2022-12-20,CUST-1EFF4B,Stephanie Novak,cassandra12@example.net,Robintown,PA,STRING LIGHTS,Lighting,7,36.63,25.0,231.41,Home Nest,Free Shipping,CANCELLED,Google Pay
ORD-76089309,2024-02-01,CUST-9BB2F5,William Tran,schneiderjennifer@example.com,Port Debbie,MO,Garden-Statue,Outdoor Decor,8,60.33,0.0,482.64,Patio-World,Express,Pending,Gift Card
ORD-32677172,2024-04-16,CUST-2FA68A,Laura Boone,robinlarson@example.com,Calebborough,,Decklight,Lighting,4,42.94,0.0,171.76,outdoor hub,Overnight,Shipped,PayPal
ORD-11554921,2024-09-07,CUST-FEF25D,Matthew Jackson,xfletcher@example.com,New Sara,DE,string lights,Lighting,6,34.99,25.0,184.94,gardenplus,Standard,refunded,Gift Card
ORD-13312575,2023-12-14,CUST-3761A5,Monica Roberson,,Evantown,OH,Wheelbarrow,Garden Tools,6,89.46,0.0,536.76,Home-Nest,Standard,CANCELLED,PayPal
ORD-16335824,2023-02-15,CUST-57A493,Mr. Raymond Gomez,tinawhite@example.org,West Jamesside,AZ,FLOOD LIGHT,Lighting,3,63.42,0.0,190.26,Nature Goods,Free Shipping,returned,Apple Pay
ORD-42305214,2023-08-20,CUST-56B45D,David Hanson,stephenskristine@example.org,Rossbury,UT,Sun Loungr,Furniture,6,82.41,0.0,494.46,HOME NEST,Overnight,PROCESSING,Debit Card
ORD-79833380,2023-03-25,CUST-9F275D,Ryan Smith,sabrinabell@example.net,North Michele,RI,Leaf-Blower,Garden Tools,4,171.82,0.0,687.28,patioworld,Standard,Pending,PayPal
